epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,4476.43,0.23061,0.28372,0.28649,0.82091,0,0.60338,0.25631,0.31222,0.26538,0.60222,0.25351,0.30886,0.2555,1.0181,1.75136,3.2262,1.5806,0,7.72356e-05,7.72356e-05,7.72356e-05
53,4562.36,0.23429,0.29403,0.28953,0.82011,0,0.61459,0.28897,0.32796,0.27424,0.6109,0.28333,0.32103,0.26014,1.01963,1.8347,3.05681,1.55911,0,7.56912e-05,7.56912e-05,7.56912e-05
54,4648.42,0.23246,0.29443,0.28767,0.82216,0,0.60407,0.2714,0.31946,0.27265,0.59681,0.26644,0.31369,0.26006,0.9479,1.70489,3.06917,1.49072,0,7.41468e-05,7.41468e-05,7.41468e-05
55,4733.83,0.23131,0.29084,0.28202,0.82151,0,0.5841,0.25568,0.29791,0.25325,0.58477,0.25368,0.29545,0.24212,1.03584,1.87679,3.16401,1.59734,0,7.26024e-05,7.26024e-05,7.26024e-05
56,4819.6,0.22974,0.28737,0.27755,0.8213,0,0.60758,0.27502,0.32063,0.27317,0.60432,0.27159,0.31637,0.25626,0.95821,1.83363,3.0332,1.51177,0,7.1058e-05,7.1058e-05,7.1058e-05
57,4905.4,0.22967,0.28908,0.27673,0.82104,0,0.62072,0.26252,0.30557,0.25847,0.61813,0.25892,0.30146,0.24562,0.99444,1.87074,3.19929,1.53412,0,6.95136e-05,6.95136e-05,6.95136e-05
58,4991.22,0.22686,0.28963,0.27249,0.81956,0,0.64094,0.29363,0.33805,0.28465,0.63499,0.28851,0.33193,0.27021,0.92707,1.67024,2.90211,1.45858,0,6.79692e-05,6.79692e-05,6.79692e-05
59,5076.9,0.22818,0.28968,0.27434,0.82138,0,0.59589,0.2661,0.30189,0.25435,0.59196,0.26384,0.29665,0.23962,1.02073,1.92799,3.10387,1.55051,0,6.64248e-05,6.64248e-05,6.64248e-05
60,5162.74,0.22283,0.28301,0.26937,0.81993,0,0.59071,0.25707,0.29932,0.24881,0.58607,0.25121,0.29206,0.23698,1.02844,1.8365,3.18444,1.5839,0,6.48804e-05,6.48804e-05,6.48804e-05
61,5248.4,0.2268,0.28892,0.26857,0.82147,0,0.57678,0.26928,0.30173,0.25519,0.57271,0.26526,0.2964,0.24274,1.00481,1.82656,3.09741,1.5673,0,6.3336e-05,6.3336e-05,6.3336e-05
62,5333.86,0.22539,0.28512,0.26749,0.82207,0,0.56165,0.2452,0.27274,0.23057,0.55708,0.24291,0.2679,0.2175,1.14302,2.07931,3.33909,1.7369,0,6.17916e-05,6.17916e-05,6.17916e-05
63,5418.98,0.22639,0.28395,0.26354,0.82142,0,0.58048,0.23086,0.26133,0.2216,0.57646,0.22682,0.25705,0.21117,1.09903,2.08061,3.44536,1.66113,0,6.02472e-05,6.02472e-05,6.02472e-05
64,5504.42,0.2222,0.28291,0.25682,0.81895,0,0.59711,0.25469,0.28625,0.24445,0.59125,0.24733,0.27939,0.23092,1.0423,2.02094,3.31573,1.61903,0,5.87028e-05,5.87028e-05,5.87028e-05
65,5589.96,0.21865,0.27845,0.25241,0.81611,0,0.58755,0.25907,0.29524,0.24907,0.58482,0.2561,0.29144,0.24171,1.00946,1.76198,3.20553,1.56493,0,5.71584e-05,5.71584e-05,5.71584e-05
66,5675.25,0.22007,0.27416,0.25381,0.81655,0,0.57422,0.23895,0.27159,0.22754,0.57394,0.23674,0.26851,0.22185,1.17512,1.90961,3.46115,1.76248,0,5.5614e-05,5.5614e-05,5.5614e-05
67,5760.21,0.22151,0.28567,0.25821,0.81818,0,0.63001,0.27352,0.30934,0.26105,0.62407,0.27115,0.30641,0.25032,0.99652,1.69582,3.17499,1.5462,0,5.40696e-05,5.40696e-05,5.40696e-05
68,5846.28,0.22171,0.28419,0.25597,0.81862,0,0.59457,0.25022,0.28368,0.23905,0.59179,0.24578,0.27904,0.22989,1.07901,1.88203,3.27635,1.6361,0,5.25252e-05,5.25252e-05,5.25252e-05
69,5932.18,0.21767,0.27857,0.24773,0.81647,0,0.59368,0.24323,0.28192,0.23948,0.58854,0.23793,0.27587,0.2271,1.11612,1.97395,3.35126,1.67766,0,5.09808e-05,5.09808e-05,5.09808e-05
